bayc_id,bakc_id,mayc_m1_id,mayc_m2_id,mayc_m3_id,all_mayc_ids,notes,source_confidence
8859,8859,27718,,,27718,,confirmed
8860,,,,,,NO_MAYC; NO_BAKC,confirmed
8861,8861,27722,27723,,"27722,27723",,confirmed
8862,8862,27724,,,27724,,confirmed
8863,8863,27726,27727,,"27726,27727",,confirmed
8864,8864,27728,,,27728,,confirmed
8865,8865,,,,,NO_MAYC,confirmed
8866,8866,27732,,,27732,,confirmed
8867,8867,27734,,,27734,,confirmed
8868,8868,,,,,NO_MAYC,confirmed
8869,8869,27738,27739,,"27738,27739",,confirmed
8870,8870,27740,27741,,"27740,27741",,confirmed
8871,8871,27742,,,27742,,confirmed
8872,8872,,,,,NO_MAYC,confirmed
8873,8873,27746,,,27746,,confirmed
8874,8874,27748,,,27748,,confirmed
8875,8875,,,,,NO_MAYC,confirmed
8876,8876,27752,,,27752,,confirmed
8877,8877,27754,27755,,"27754,27755",,confirmed
8878,8878,27756,,,27756,,confirmed
8879,8879,27758,,,27758,,confirmed
8880,8880,27760,,,27760,,confirmed
8881,8881,27762,,,27762,,confirmed
8882,8882,27764,27765,,"27764,27765",,confirmed
8883,8883,27766,27767,,"27766,27767",,confirmed
8884,8884,27768,,,27768,,confirmed
8885,8885,27770,,,27770,,confirmed
8886,8886,27772,27773,,"27772,27773",,confirmed
8887,8887,27774,,,27774,,confirmed
8888,8888,27776,27777,,"27776,27777",,confirmed
8889,8889,27778,27779,,"27778,27779",,confirmed
8890,8890,27780,27781,,"27780,27781",,confirmed
8891,8891,27782,27783,,"27782,27783",,confirmed
8892,8892,27784,,,27784,,confirmed
8893,8893,27786,27787,,"27786,27787",,confirmed
8894,8894,27788,,,27788,,confirmed
8895,8895,27790,,,27790,,confirmed
8896,8896,,,,,NO_MAYC,confirmed
8897,8897,,,,,NO_MAYC,confirmed
8898,8898,,,,,NO_MAYC,confirmed
8899,8899,,,,,NO_MAYC,confirmed
8900,,27800,,,27800,NO_BAKC,confirmed
8901,,,,,,NO_MAYC; NO_BAKC,confirmed
8902,8902,27804,,,27804,,confirmed
8903,8903,27806,,,27806,,confirmed
8904,8904,27808,27809,,"27808,27809",,confirmed
8905,8905,,,,,NO_MAYC,confirmed
8906,8906,,,,,NO_MAYC,confirmed
8907,8907,27814,,,27814,,confirmed
8908,8908,,,,,NO_MAYC,confirmed
8909,8909,27818,,,27818,,confirmed
8910,8910,27820,,,27820,,confirmed
8911,8911,27822,,,27822,,confirmed
8912,8912,,,,,NO_MAYC,confirmed
8913,8913,27826,,,27826,,confirmed
8914,8914,,,,,NO_MAYC,confirmed
8915,8915,,,,,NO_MAYC,confirmed
8916,8916,27832,,,27832,,confirmed
8917,8917,,27835,,27835,,confirmed
8918,8918,,,,,NO_MAYC,confirmed
8919,8919,27838,,,27838,,confirmed
8920,8920,27840,,,27840,,confirmed
8921,8921,27842,27843,,"27842,27843",,confirmed
8922,8922,27844,,,27844,,confirmed
8923,8923,,27847,,27847,,confirmed
8924,8924,,,,,NO_MAYC,confirmed
8925,8925,,,,,NO_MAYC,confirmed
8926,8926,27852,,,27852,,confirmed
